Property Type,Region,Avg Sale To List,Homes Sold,Inventory,Median Dom,Median List Ppsf,Median List Price,Median Sale Ppsf,Median Sale Price,months_of_supply,New Listings,off_market_in_two_weeks,pending_sales,Period Begin,Period Duration,Period End,Price Drops,Sold Above List
All Residential,"Chicago, IL - Ashburn Estates",0.954607553,9,22,154,123.2420091,169300,113.8147567,$145K,,17,0.333333333,16,1/1/2012,90,3/31/2012,,0.222222222
All Residential,"Chicago, IL - East Side",0.961811058,24,65,58.5,69.01472486,72500,53.4957265,$48K,,46,0.208333333,33,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - Far Southeast Side",0.938574273,313,964,68,38.79966887,50000,28.16982769,$34K,,661,0.159744409,487,1/1/2012,90,3/31/2012,,0.191693291
All Residential,"Chicago, IL - Schorsch Forest View",0.931198709,4,14,119,186.875,192450,91.66666667,$51K,,6,0.25,5,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - East Beverly",0.940915164,5,20,146,91.58957107,159900,103.5375324,$205K,,17,0,12,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Hyde Park",0.93940375,25,179,172,152.892562,219500,94.70779221,$150K,,107,0.04,60,1/1/2012,90,3/31/2012,,0.16
All Residential,"Chicago, IL - Auburn Gresham",0.91499468,65,189,65,48.41418386,70000,29.42738551,$42K,,114,0.169230769,116,1/1/2012,90,3/31/2012,,0.107692308
All Residential,"Chicago, IL - North Center",0.950084275,72,219,116,251.0042283,442200,203.888539,$385K,,211,0.111111111,159,1/1/2012,90,3/31/2012,,0.125
All Residential,"Chicago, IL - Dunning",0.948530071,91,203,86,129.576328,174900,120.6668332,$150K,,155,0.175824176,173,1/1/2012,90,3/31/2012,,0.197802198
All Residential,"Chicago, IL - South Loop",0.975473226,151,358,102,234.5964403,275000,201.8403237,$234K,,310,0.086092715,291,1/1/2012,90,3/31/2012,,0.311258278
All Residential,"Chicago, IL - Old Norwood Park",0.974908334,4,14,88,224.8656841,314450,107.1479113,$140K,,8,0.25,5,1/1/2012,90,3/31/2012,,0.25
All Residential,"Chicago, IL - Oakland",0.909654415,10,25,141,107.27606,167000,100,$200K,,18,0.1,12,1/1/2012,90,3/31/2012,,0.2
All Residential,"Chicago, IL - Kenwood",0.985881968,23,112,98,112.0891854,169000,69.81419547,$125K,,61,0.173913043,46,1/1/2012,90,3/31/2012,,0.304347826
All Residential,"Chicago, IL - Park West",0.924911484,31,128,159.5,277.1954023,280000,266.6666667,$405K,,97,0.129032258,55,1/1/2012,90,3/31/2012,,0.064516129
All Residential,"Chicago, IL - Ravenswood Gardens",0.788235294,1,4,84,171.5625,274500,91.63019694,$335K,,1,0,1,1/1/2012,90,3/31/2012,,0
All Residential,"Chicago, IL - Fulton Market",0.961226944,11,13,92,254.6143233,357000,204.0816327,$250K,,4,0.181818182,6,1/1/2012,90,3/31/2012,,0.090909091
All Residential,"Chicago, IL - The Chicago University",0.94910229,12,15,63,39.32247191,55450,13.69047619,$29K,,12,0.166666667,14,1/1/2012,90,3/31/2012,,0.166666667
All Residential,"Chicago, IL - Park Manor",0.896350594,35,86,86,40.45307443,72500,25.74152148,$55K,,53,0.171428571,37,1/1/2012,90,3/31/2012,,0.171428571
All Residential,"Chicago, IL - Pill Hill / Calument Heights",0.928540519,34,52,59,54.59008346,69000,52.08333333,$61K,,53,0.264705882,43,1/1/2012,90,3/31/2012,,0.117647059
All Residential,"Chicago, IL - West Ridge",0.951166344,134,308,70,82.0314337,94001,63.33973129,$76K,,231,0.186567164,245,1/1/2012,90,3/31/2012,,0.246268657
All Residential,"Chicago, IL - Lake View East",0.937503712,153,421,145.5,209.0909091,249900,181.8181818,$212K,,353,0.08496732,259,1/1/2012,90,3/31/2012,,0.104575163
